"taxon","model","seed","AUCtrain","AUCtest","maxKappatrain","maxKappatest"
"Tsuga","MAXNET",6190,0.8582349264,0.85452512,0.61304,0.61276
"Tsuga","GLM",6190,0.835357544,0.831444472,0.56276,0.569
"Tsuga","GAM",6960,0.858660296,0.8548773168,0.60664,0.60572
"Tsuga","RF",6960,0.9999983728,0.9280145736,0.9998,0.70964
"Tsuga","GBM",6960,0.916748572,0.887255884,0.7014,0.65652
"Tsuga","MAXNET",6960,0.8607533776,0.8549340848,0.6044,0.60796
"Tsuga","GLM",6960,0.8378230064,0.8340262224,0.56968,0.5676
"Tsuga","GAM",8848,0.8537387384,0.8527879728,0.60024,0.60036
"Tsuga","RF",8848,0.9999941,0.9282572752,0.99976,0.71132
"Tsuga","GBM",8848,0.9130014192,0.8819585928,0.69872,0.6488
"Tsuga","MAXNET",8848,0.8524380328,0.8474445856,0.59104,0.58844
"Tsuga","GLM",8848,0.8313450712,0.83284164,0.5598,0.56644
"Ulmus","GAM",2037,0.8061973808,0.7935868048,0.46452,0.44868
"Ulmus","RF",2037,0.9999997472,0.8630059232,0.99996,0.55788
"Ulmus","GBM",2037,0.8756457888,0.8257443456,0.59656,0.50444
"Ulmus","MAXNET",2037,0.7770940464,0.764480448,0.42396,0.4098
"Ulmus","GLM",2037,0.7803631952,0.7685146368,0.41912,0.40488
"Ulmus","GAM",4392,0.8052008416,0.8022381016,0.46092,0.45988
"Ulmus","RF",4392,0.999999056,0.8706889808,0.99992,0.58788
"Ulmus","GBM",4392,0.8741607048,0.8322561944,0.59688,0.51664
"Ulmus","MAXNET",4392,0.7791142464,0.7793257448,0.433,0.4314
"Ulmus","GLM",4392,0.779038216,0.7790600408,0.41412,0.42268
"Ulmus","GAM",6190,0.8088769024,0.789727956,0.47364,0.4302
"Ulmus","RF",6190,1,0.8575223632,1,0.55072
"Ulmus","GBM",6190,0.8758670368,0.8176951136,0.60412,0.48056
"Ulmus","MAXNET",6190,0.7793826464,0.7689431208,0.43364,0.41664
"Ulmus","GLM",6190,0.7828585248,0.7667657608,0.4276,0.39088
"Ulmus","GAM",6960,0.8085307072,0.7991844064,0.46584,0.46556
"Ulmus","RF",6960,0.9999997232,0.860965888,0.99996,0.5566
"Ulmus","GBM",6960,0.8776187656,0.827273736,0.60488,0.50568
"Ulmus","MAXNET",6960,0.7800385072,0.7675886672,0.43432,0.41628
"Ulmus","GLM",6960,0.781100648,0.7805631664,0.42076,0.42676
"Ulmus","GAM",8848,0.8076812632,0.7962230704,0.47336,0.4432
"Ulmus","RF",8848,0.9999984536,0.8631847632,0.99996,0.55868
"Ulmus","GBM",8848,0.8780619608,0.8230715056,0.60744,0.4974
"Ulmus","MAXNET",8848,0.7771936392,0.7713067984,0.4198,0.4056
"Ulmus","GLM",8848,0.7804185352,0.7754824144,0.42192,0.41392
