"site","COVERTYPE","LRU2","drain","chem","text","form","ntrees","prop","Abies","Acer","Aesculus","Alnus","Betula","Carya","Castanea","Celtis","Cercis","Cornus","Crataegus","Cupressaceae","Fagus","Fraxinus","Juglans","Larix","Morus","NyssaLiquidambar","OstryaCarpinus","Picea","Pinus","Platanus","PopLirio","Prunus","Quercus","RobiniaGleditsia","Salix","Sassafras","Thuja","Tilia","Tsuga","Ulmus"
"94AB wet typic loamy plains","CEDAR SWAMP","94AB","wet","typic","loamy","plains",152,17.4,4.6,3.9,0,0,4.6,0,0,0,0,0,0,0,3.9,6.6,0,8.6,0,0,0.7,5.3,10.5,0,4.6,0,1.3,0,0,0,30.3,0,15.1,0
"94AB wet euic mucky plains","CEDAR SWAMP","94AB","wet","euic","mucky","plains",758,33.4,3.7,3,0,0.1,4.4,0,0,0,0,0,0,0,2.5,1.7,0,17.4,0,0,0.3,5.1,8.8,0,2.4,0,0.1,0,0.1,0,43.3,0.3,6.5,0.3
"94AB dry typic loamy plains","HEMLOCK-WHITE PINE FOREST","94AB","dry","typic","loamy","plains",274,11.1,1.5,13.9,0,0.7,5.5,0,0,0,0,0,0,0,6.2,5.5,0,2.9,0,0,1.1,0.7,11.3,0,4.7,0,1.5,0,0,0,4.4,1.8,36.5,1.8
"94AB dry spodic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","dry","spodic","sandy","plains",869,31.7,0.2,17.3,0,0,3.3,0,0,0,0,0,0,0,33.5,1.2,0,1.3,0,0,0.2,0.2,10.2,0,1.3,0,1,0,0,0,6.6,1,22.4,0.2
"94AB wet typic loamy plains","MIXED CONIFER SWAMP","94AB","wet","typic","loamy","plains",333,38.1,3.9,2.7,0,0.3,6.6,0,0,0,0,0,0,0,2.4,6.3,0,28.8,0,0,0,4.5,14.1,0,5.1,0,0.3,0,0.3,0,17.1,0.3,6,1.2
"94C moist typic loamy plains","SPRUCE-FIR-CEDAR FOREST","94C","moist","typic","loamy","plains",208,14.9,3.8,6.2,0,0,6.7,0,0,0,0,0,0,0,4.3,3.8,0,4.8,0,0,0,1.9,12,0,1.4,0,0,0,0,0,31.7,0.5,21.6,1
"94AB wet euic mucky plains","MIXED CONIFER SWAMP","94AB","wet","euic","mucky","plains",1160,51.1,2.3,2.4,0,0.1,5,0,0,0,0,0,0,0,1.8,3.3,0,29.9,0,0,0,8.9,12.3,0,2.7,0,0.3,0,0.2,0,23.2,0.2,7.3,0.2
"94AB moist typic loamy plains","CEDAR SWAMP","94AB","moist","typic","loamy","plains",560,17,5.9,4.1,0,0.5,5.9,0,0,0,0,0,0,0,5.7,2,0,10.2,0,0,0,2.9,5.7,0,5.7,0,0.4,0,0,0,34.8,0.9,14.6,0.7
"94AB dry spodic sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","spodic","sandy","plains",422,15.4,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.1,0,0,0.2,2.8,82.5,0,2.6,0,3.6,0,0,0,3.3,0,1.2,0
"94AB moist euic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","euic","sandy","plains",156,15,0.6,9,0,0,7.7,0,0,0,0,0,0,0,25.6,1.9,0,1.3,0,0,1.3,2.6,7.1,0,3.8,0.6,0.6,0,0,0,13.5,0.6,23.7,0
"94AB dry typic sandy plains","MIXED CONIFER SWAMP","94AB","dry","typic","sandy","plains",123,1.1,2.4,2.4,0,0,8.1,0,0,0,0,0,0,0,1.6,2.4,0,22.8,0,0,0,5.7,35.8,0,7.3,0,2.4,0,0,0,6.5,0,2.4,0
"94AB moist dysic sandy plains","JACK PINE-RED PINE FOREST","94AB","moist","dysic","sandy","plains",320,13.7,1.6,2.5,0,0,2.2,0,0,0,0,0,0,0,0.6,0.6,0,3.4,0,0,0,0.9,81.2,0,3.4,0.3,1.6,0,0,0,1.2,0,0.3,0
"94AB dry typic sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","typic","sandy","plains",4879,43.4,0.1,0.3,0,0,0.5,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0,0,0.6,90.9,0,2.2,0,3.5,0,0,0,0.8,0.1,0.3,0
"94AB dry rich sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","dry","rich","sandy","plains",319,33,0.3,18.2,0,0,2.8,0,0,0,0,0,0,0,43.3,0.3,0,0,0,0,0.6,0.6,6.9,0,1.6,0,0.6,0,0,0,1.6,1.3,21.9,0
"94AB wet euic sandy plains","CEDAR SWAMP","94AB","wet","euic","sandy","plains",130,27.4,3.1,3.8,0,0,7.7,0,0,0,0,0,0,0,2.3,3.8,0,13.1,0,0,0,2.3,9.2,0,4.6,0,0,0,0,0,40.8,0.8,8.5,0
"94AB moist euic sandy plains","CEDAR SWAMP","94AB","moist","euic","sandy","plains",177,17.1,5.1,3.4,0,0,4,0,0,0,0,0,0,0,3.4,1.7,0,13.6,0,0,0,2.8,9.6,0,5.1,0,1.1,0,0,0,35.6,0.6,13,1.1
"94AB moist dysic sandy plains","HEMLOCK-WHITE PINE FOREST","94AB","moist","dysic","sandy","plains",384,16.4,1.8,6,0,0,4.4,0,0,0,0,0,0,0,8.6,4.7,0.3,3.6,0,0,0.3,1.8,22.7,0,2.6,0,1.3,0,0,0,6,0.3,35.2,0.5
"94AB dry spodic sandy plains","HEMLOCK-WHITE PINE FOREST","94AB","dry","spodic","sandy","plains",312,11.4,0.6,6.1,0,0,0.6,0,0,0,0,0,0,0,18.6,1.6,0,0.3,0,0,0,0.6,28.5,0,2.6,0,2.6,0,0,0,3.8,1,32.4,0.6
"94AB moist dysic sandy plains","MIXED CONIFER SWAMP","94AB","moist","dysic","sandy","plains",288,12.3,2.4,3.8,0,0,6.9,0,0,0,0,0,0,0,3.5,4.9,0,19.4,0,0,0,8.7,18.8,0,5.2,0,0,0,0,0,14.2,0,12.2,0
"94AB dry typic sandy plains","WHITE PINE-RED PINE FOREST","94AB","dry","typic","sandy","plains",2443,21.7,0.5,2.4,0,0,1.6,0,0,0,0,0,0,0,3.4,0.1,0,1.1,0,0,0.2,0.4,77.2,0,3.5,0,6.1,0,0,0,1.2,0,2.5,0
"94AB dry spodic sandy plains","WHITE PINE-RED PINE FOREST","94AB","dry","spodic","sandy","plains",820,29.9,0.6,4.4,0,0,2.7,0,0,0,0,0,0,0,6.5,0.2,0,1.1,0,0,0.1,1.2,68.7,0,3.4,0.1,3.3,0,0,0,2.6,0.1,4.9,0.1
"94AB moist typic loamy plains","HEMLOCK-WHITE PINE FOREST","94AB","moist","typic","loamy","plains",627,19,3,13.1,0,0.2,4.5,0,0,0,0,0,0,0,14,4,0,2.7,0,0,0,0.8,14.5,0,2.4,0,0.3,0,0,0,4.8,0.8,32.7,2.2
"94AB dry typic loamy plains","WHITE PINE-RED PINE FOREST","94AB","dry","typic","loamy","plains",227,9.2,0.4,7,0,0,2.6,0,0,0,0,0,0,0,8.4,0.4,0,3.1,0,0,0,0,57.3,0,1.3,0,7,0,0,0,2.6,0,9.7,0
"94AB wet dysic mucky plains","MIXED CONIFER SWAMP","94AB","wet","dysic","mucky","plains",144,56.9,2.1,1.4,0,0,2.1,0,0,0,0,0,0,0,0,0.7,0,34.7,0,0,0,21.5,24.3,0,0,0,0,0,0,0,9,0,4.2,0
"94AB moist euic sandy plains","MIXED CONIFER SWAMP","94AB","moist","euic","sandy","plains",222,21.4,5.4,5.4,0,0,5.4,0,0,0,0,0,0,0,2.7,5.9,0,22.1,0,0,0,6.3,15.3,0,5,0,0.5,0,0,0,15.3,0,9.9,0.9
"94AB dry rich sandy plains","JACK PINE-RED PINE FOREST","94AB","dry","rich","sandy","plains",188,19.4,0,1.1,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,91.5,0,2.7,0,1.6,0,0,0,0,0,1.1,0
"94AB moist typic loamy plains","WHITE PINE-RED PINE FOREST","94AB","moist","typic","loamy","plains",190,5.8,0.5,7.9,0,0,4.7,0,0,0,0,0,0,0,8.4,0.5,0,4.2,0,0,0.5,1.1,44.2,0,7.4,0,5.8,0,0,0,5.3,0.5,8.4,0.5
"94AB moist dysic sandy plains","BEECH-SUGAR MAPLE-HEMLOCK FOREST","94AB","moist","dysic","sandy","plains",380,16.3,1.3,15,0,0,4.2,0,0,0,0,0,0,0,26.6,1.6,0,2.4,0,0,0,0,7.4,0,2.6,0,0.3,0,0,0,6.3,0.3,31.3,0.8
"94AB dry rich sandy plains","WHITE PINE-RED PINE FOREST","94AB","dry","rich","sandy","plains",228,23.6,0.4,4.8,0,0,1.3,0,0,0,0,0,0,0,3.1,0,0,1.3,0,0,0,1.3,63.2,0,9.6,0,8.3,0,0,0,0.9,0.4,5.3,0
"94AB wet typic loamy plains","LAKE/RIVER","94AB","wet","typic","loamy","plains",100,11.4,1,0,0,1,7,0,0,0,0,0,0,0,8,1,0,16,0,0,0,7,24,0,7,0,10,0,0,0,10,0,5,3
